Area Name	SOC Code	SOC Title	Employment 
Connecticut	21-1021	Child, Family, and School Social Workers	5,790
Connecticut	21-2011	Clergy	630
Connecticut	21-1099	Community and Social Service Specialists, All Other	420
Connecticut	21-1094	Community Health Workers	520
Connecticut	21-1019	Counselors, All Other	470
Connecticut	21-2021	Directors, Religious Activities and Education	160
Connecticut	21-1012	Educational, Guidance, and Career Counselors and Advisors	3,090
Connecticut	21-1091	Health Education Specialists	480
Connecticut	21-1022	Healthcare Social Workers	1,930
Connecticut	21-1013	Marriage and Family Therapists	430
Connecticut	21-1023	Mental Health and Substance Abuse Social Workers	1,400
Connecticut	21-1092	Probation Officers and Correctional Treatment Specialists	1,080
Connecticut	21-1015	Rehabilitation Counselors	2,770
Connecticut	21-2099	Religious Workers, All Other	60
Connecticut	21-1093	Social and Human Service Assistants	8,310
Connecticut	21-1029	Social Workers, All Other	340
Connecticut	21-1018	Substance abuse, behavioral disorder, and mental health counselors	6,070
Connecticut	23-0000	Legal Occupations	14,480
Connecticut	23-1021	Administrative Law Judges, Adjudicators, and Hearing Officers	300
Connecticut	23-1022	Arbitrators, Mediators, and Conciliators	N/A
Connecticut	23-1023	Judges, Magistrate Judges, and Magistrates	190
Connecticut	23-1012	Judicial Law Clerks	290
Connecticut	23-1011	Lawyers	8,380
Connecticut	23-2099	Legal Support Workers, All Other	N/A
Connecticut	23-2011	Paralegals and Legal Assistants	4,860
Connecticut	23-2093	Title Examiners, Abstractors, and Searchers	80
Connecticut	25-0000	Educational Instruction and Library Occupations	119,900
Connecticut	25-3011	Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors	360
Connecticut	25-1061	Anthropology and Archeology Teachers, Postsecondary	90
Connecticut	25-1031	Architecture Teachers, Postsecondary	N/A
Connecticut	25-4011	Archivists	40
Connecticut	25-1121	Art, Drama, and Music Teachers, Postsecondary	960
Connecticut	25-1051	Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary	180
Connecticut	25-1042	Biological Science Teachers, Postsecondary	900
Connecticut	25-1011	Business Teachers, Postsecondary	1,080
Connecticut	25-2023	Career/Technical Education Teachers, Middle School	80
Connecticut	25-1194	Career/Technical Education Teachers, Postsecondary	760
Connecticut	25-2032	Career/Technical Education Teachers, Secondary School	1,530
Connecticut	25-1052	Chemistry Teachers, Postsecondary	280
Connecticut	25-1122	Communications Teachers, Postsecondary	350
Connecticut	25-1021	Computer Science Teachers, Postsecondary	430
Connecticut	25-1111	Criminal Justice and Law Enforcement Teachers, Postsecondary	130
Connecticut	25-4012	Curators	150
Connecticut	25-1063	Economics Teachers, Postsecondary	230
Connecticut	25-1081	Education Teachers, Postsecondary	560
Connecticut	25-9099	Educational Instruction and Library Workers, All Other	340
Connecticut	25-2021	Elementary School Teachers, Except Special Education	16,890
Connecticut	25-1032	Engineering Teachers, Postsecondary	490
Connecticut	25-1123	English Language and Literature Teachers, Postsecondary	630
Connecticut	25-1053	Environmental Science Teachers, Postsecondary	N/A
Connecticut	25-1192	Family and Consumer Sciences Teachers, Postsecondary	20
Connecticut	25-9021	Farm and Home Management Educators	30
Connecticut	25-1124	Foreign Language and Literature Teachers, Postsecondary	350
Connecticut	25-1064	Geography Teachers, Postsecondary	40
Connecticut	25-1071	Health Specialties Teachers, Postsecondary	N/A
Connecticut	25-1125	History Teachers, Postsecondary	270
Connecticut	25-9031	Instructional Coordinators	1,600
Connecticut	25-2012	Kindergarten Teachers, Except Special Education	1,490
Connecticut	25-1112	Law Teachers, Postsecondary	N/A
Connecticut	25-4022	Librarians and Media Collections Specialists	2,400
Connecticut	25-1082	Library Science Teachers, Postsecondary	20
Connecticut	25-4031	Library Technicians	960
Connecticut	25-1022	Mathematical Science Teachers, Postsecondary	570
Connecticut	25-2022	Middle School Teachers, Except Special and Career/Technical Education	8,450
Connecticut	25-4013	Museum Technicians and Conservators	190
Connecticut	25-1072	Nursing Instructors and Teachers, Postsecondary	990
Connecticut	25-1126	Philosophy and Religion Teachers, Postsecondary	300
Connecticut	25-1054	Physics Teachers, Postsecondary	180
Connecticut	25-1065	Political Science Teachers, Postsecondary	240
Connecticut	25-1199	Postsecondary Teachers, All Other	2,910
Connecticut	25-2011	Preschool Teachers, Except Special Education	6,380
Connecticut	25-1066	Psychology Teachers, Postsecondary	560
Connecticut	25-1193	Recreation and Fitness Studies Teachers, Postsecondary	110
Connecticut	25-2031	Secondary School Teachers, Except Special and Career/Technical Education	15,270
Connecticut	25-3021	Self-Enrichment Teachers	3,010
Connecticut	25-1113	Social Work Teachers, Postsecondary	240
Connecticut	25-1067	Sociology Teachers, Postsecondary	170
Connecticut	25-2059	Special Education Teachers, All Other	1,160
Connecticut	25-2052	Special Education Teachers, Kindergarten and Elementary School	2,620
Connecticut	25-2057	Special Education Teachers, Middle School	1,020
Connecticut	25-2051	Special Education Teachers, Preschool	320
Connecticut	25-2058	Special Education Teachers, Secondary School	1,450
Connecticut	25-3031	Substitute Teachers, Short-Term	3,610
Connecticut	25-3099	Teachers and Instructors, All Other	2,280
Connecticut	25-9045	Teaching Assistants, Except Postsecondary	20,550
Connecticut	25-9044	Teaching Assistants, Postsecondary	3,700
Connecticut	25-3041	Tutors	2,880
Connecticut	27-0000	Arts, Design, Entertainment, Sports, and Media Occupations	21,300
Connecticut	27-2011	Actors	60
Connecticut	27-1011	Art Directors	640
Connecticut	27-1019	Artists and Related Workers, All Other	20
Connecticut	27-2021	Athletes and Sports Competitors	210
Connecticut	27-4011	Audio and Video Technicians	620
Connecticut	27-3011	Broadcast Announcers and Radio Disc Jockeys	260
Connecticut	27-4012	Broadcast Technicians	130
Connecticut	27-4031	Camera Operators, Television, Video, and Film	420
Connecticut	27-2032	Choreographers	70
Connecticut	27-2022	Coaches and Scouts	3,570
Connecticut	27-1021	Commercial and Industrial Designers	250
Connecticut	27-3092	Court Reporters and Simultaneous Captioners	190
Connecticut	27-1012	Craft Artists	50
Connecticut	27-1029	Designers, All Other	30
Connecticut	27-2091	Disc Jockeys, Except Radio	60
Connecticut	27-3041	Editors	1,980
Connecticut	27-2099	Entertainers and Performers, Sports and Related Workers, All Other	60
Connecticut	27-1022	Fashion Designers	20
Connecticut	27-4032	Film and Video Editors	480
Connecticut	27-1013	Fine Artists, Including Painters, Sculptors, and Illustrators	80
Connecticut	27-1023	Floral Designers	360
Connecticut	27-1024	Graphic Designers	1,590
Connecticut	27-1025	Interior Designers	690
Connecticut	27-3091	Interpreters and Translators	230
Connecticut	27-4099	Media and Communication Equipment Workers, All Other	40
Connecticut	27-3099	Media and Communication Workers, All Other	110
Connecticut	27-1026	Merchandise Displayers and Window Trimmers	1,490
Connecticut	27-2041	Music Directors and Composers	280
Connecticut	27-2042	Musicians and Singers	510
Connecticut	27-3023	News Analysts, Reporters, and Journalists	400
Connecticut	27-4021	Photographers	370
Connecticut	27-2012	Producers and Directors	2,100
Connecticut	27-3031	Public Relations Specialists	2,040
Connecticut	27-1027	Set and Exhibit Designers	40
Connecticut	27-4014	Sound Engineering Technicians	20
Connecticut	27-1014	Special Effects Artists and Animators	130
Connecticut	27-3042	Technical Writers	650
Connecticut	27-3043	Writers and Authors	880
Connecticut	29-0000	Healthcare Practitioners and Technical Occupations	105,830
Connecticut	29-1291	Acupuncturists	10
Connecticut	29-1211	Anesthesiologists	220
Connecticut	29-9091	Athletic Trainers	710
Connecticut	29-1181	Audiologists	190
Connecticut	29-1212	Cardiologists	200
Connecticut	29-2031	Cardiovascular Technologists and Technicians	470
Connecticut	29-1011	Chiropractors	200
Connecticut	29-2010	Clinical Laboratory Technologists and Technicians	3,690
Connecticut	29-1292	Dental Hygienists	3,150
Connecticut	29-1029	Dentists, All Other Specialists	10
Connecticut	29-1021	Dentists, General	1,360
Connecticut	29-2032	Diagnostic Medical Sonographers	1,000
Connecticut	29-2051	Dietetic Technicians	190
Connecticut	29-1031	Dietitians and Nutritionists	790
Connecticut	29-2042	Emergency Medical Technicians	2,730
Connecticut	29-1214	Emergency Medicine Physicians	420
Connecticut	29-1128	Exercise Physiologists	60
Connecticut	29-1215	Family Medicine Physicians	880
Connecticut	29-1216	General Internal Medicine Physicians	920
Connecticut	29-9092	Genetic Counselors	40
Connecticut	29-9021	Health Information Technologists and Medical Registrars	270
Connecticut	29-2099	Health Technologists and Technicians, All Other	930
Connecticut	29-1299	Healthcare Diagnosing or Treating Practitioners, All Other	430
Connecticut	29-9099	Healthcare Practitioners and Technical Workers, All Other	640
Connecticut	29-2092	Hearing Aid Specialists	N/A
Connecticut	29-2061	Licensed Practical and Licensed Vocational Nurses	8,800
Connecticut	29-2035	Magnetic Resonance Imaging Technologists	270
Connecticut	29-2072	Medical Records Specialists	1,590
Connecticut	29-1217	Neurologists	70
Connecticut	29-2033	Nuclear Medicine Technologists	190
Connecticut	29-1151	Nurse Anesthetists	560
Connecticut	29-1161	Nurse Midwives	240
Connecticut	29-1171	Nurse Practitioners	2,910
Connecticut	29-1218	Obstetricians and Gynecologists	470
Connecticut	29-1122	Occupational Therapists	2,250
Connecticut	29-2057	Ophthalmic Medical Technicians	770
Connecticut	29-1241	Ophthalmologists, Except Pediatric	N/A
Connecticut	29-2081	Opticians, Dispensing	520
Connecticut	29-1041	Optometrists	550
Connecticut	29-1023	Orthodontists	190
Connecticut	29-1242	Orthopedic Surgeons, Except Pediatric	N/A
Connecticut	29-2091	Orthotists and Prosthetists	50
Connecticut	29-2043	Paramedics	1,110
Connecticut	29-1243	Pediatric Surgeons	50
Connecticut	29-1221	Pediatricians, General	330
Connecticut	29-1051	Pharmacists	2,990
Connecticut	29-2052	Pharmacy Technicians	4,500
Connecticut	29-1123	Physical Therapists	3,500
Connecticut	29-1071	Physician Assistants	2,820
Connecticut	29-1229	Physicians, All Other	3,740
Connecticut	29-1081	Podiatrists	150
Connecticut	29-2053	Psychiatric Technicians	950
Connecticut	29-1223	Psychiatrists	550
Connecticut	29-1124	Radiation Therapists	180
Connecticut	29-2034	Radiologic Technologists and Technicians	2,570
Connecticut	29-1224	Radiologists	N/A
Connecticut	29-1125	Recreational Therapists	250
Connecticut	29-1141	Registered Nurses	34,290
Connecticut	29-1126	Respiratory Therapists	1,370
Connecticut	29-1127	Speech-Language Pathologists	1,990
Connecticut	29-9093	Surgical Assistants	N/A
Connecticut	29-2055	Surgical Technologists	1,180
Connecticut	29-1129	Therapists, All Other	90
Connecticut	29-1131	Veterinarians	900
Connecticut	29-2056	Veterinary Technologists and Technicians	1,850
Connecticut	31-0000	Healthcare Support Occupations	83,870
Connecticut	31-9091	Dental Assistants	3,560
Connecticut	31-9099	Healthcare Support Workers, All Other	1,170
Connecticut	31-1120	Home Health and Personal Care Aides	41,230
Connecticut	31-9011	Massage Therapists	770
Connecticut	31-9092	Medical Assistants	9,760
Connecticut	31-9093	Medical Equipment Preparers	640
Connecticut	31-9094	Medical Transcriptionists	890
Connecticut	31-1131	Nursing Assistants	19,390
Connecticut	31-2012	Occupational Therapy Aides	40
Connecticut	31-2011	Occupational Therapy Assistants	790
Connecticut	31-1132	Orderlies	800
Connecticut	31-9095	Pharmacy Aides	270
Connecticut	31-9097	Phlebotomists	1,830
Connecticut	31-2022	Physical Therapist Aides	360
Connecticut	31-2021	Physical Therapist Assistants	850
Connecticut	31-1133	Psychiatric Aides	440
Connecticut	31-9096	Veterinary Assistants and Laboratory Animal Caretakers	1,070
Connecticut	33-0000	Protective Service Occupations	34,030
Connecticut	33-9011	Animal Control Workers	160
Connecticut	33-3011	Bailiffs	40
Connecticut	33-3012	Correctional Officers and Jailers	3,540
Connecticut	33-9091	Crossing Guards and Flaggers	1,500
Connecticut	33-3021	Detectives and Criminal Investigators	800
Connecticut	33-2021	Fire Inspectors and Investigators	360
Connecticut	33-2011	Firefighters	2,340
Connecticut	33-1011	First-Line Supervisors of Correctional Officers	610
Connecticut	33-1021	First-Line Supervisors of Firefighting and Prevention Workers	1,000
Connecticut	33-1012	First-Line Supervisors of Police and Detectives	1,670
Connecticut	33-1099	First-Line Supervisors of Protective Service Workers, All Other	320
Connecticut	33-1091	First-Line Supervisors of Security Workers	510
Connecticut	33-3031	Fish and Game Wardens	70
Connecticut	33-9031	Gambling Surveillance Officers and Gambling Investigators	440
Connecticut	33-9092	Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers	780
Connecticut	33-3051	Police and Sheriff's Patrol Officers	6,410
Connecticut	33-9021	Private Detectives and Investigators	390
Connecticut	33-9099	Protective Service Workers, All Other	520
Connecticut	33-9094	School Bus Monitors	610
Connecticut	33-9032	Security Guards	11,670
Connecticut	35-0000	Food Preparation and Serving Related Occupations	123,560
Connecticut	35-3011	Bartenders	7,160
Connecticut	35-1011	Chefs and Head Cooks	4,530
Connecticut	35-2019	Cooks, All Other	190
Connecticut	35-2011	Cooks, Fast Food	2,890
Connecticut	35-2012	Cooks, Institution and Cafeteria	3,330
Connecticut	35-2014	Cooks, Restaurant	12,740
Connecticut	35-2015	Cooks, Short Order	180
Connecticut	35-9011	Dining Room and Cafeteria Attendants and Bartender Helpers	4,700
Connecticut	35-9021	Dishwashers	6,210
Connecticut	35-3023	Fast Food and Counter Workers	28,880
Connecticut	35-1012	First-Line Supervisors of Food Preparation and Serving Workers	10,240
Connecticut	35-9099	Food Preparation and Serving Related Workers, All Other	380
Connecticut	35-2021	Food Preparation Workers	10,760
Connecticut	35-3041	Food Servers, Nonrestaurant	4,290
Connecticut	35-9031	Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop	4,430
Connecticut	35-3031	Waiters and Waitresses	22,650
Connecticut	37-0000	Building and Grounds Cleaning and Maintenance Occupations	53,940
Connecticut	37-2019	Building Cleaning Workers, All Other	200
Connecticut	37-1011	First-Line Supervisors of Housekeeping and Janitorial Workers	1,780
Connecticut	37-1012	First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers	1,770
Connecticut	37-2011	Janitors and Cleaners, Except Maids and Housekeeping Cleaners	28,770
Connecticut	37-3011	Landscaping and Groundskeeping Workers	13,900
Connecticut	37-2012	Maids and Housekeeping Cleaners	6,420
Connecticut	37-2021	Pest Control Workers	550
Connecticut	37-3012	Pesticide Handlers, Sprayers, and Applicators, Vegetation	N/A
Connecticut	37-3013	Tree Trimmers and Pruners	430
Connecticut	39-0000	Personal Care and Service Occupations	38,780
Connecticut	39-3091	Amusement and Recreation Attendants	2,420
Connecticut	39-2021	Animal Caretakers	2,950
Connecticut	39-2011	Animal Trainers	510
Connecticut	39-6011	Baggage Porters and Bellhops	90
Connecticut	39-5011	Barbers	230
Connecticut	39-9011	Childcare Workers	6,340
Connecticut	39-6012	Concierges	200
Connecticut	39-3092	Costume Attendants	60
Connecticut	39-4012	Crematory Operators	N/A
Connecticut	39-4011	Embalmers	20
Connecticut	39-9031	Exercise Trainers and Group Fitness Instructors	3,360
Connecticut	39-1014	First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services	1,550
Connecticut	39-1013	First-Line Supervisors of Gambling Services Workers	510
Connecticut	39-1022	First-Line Supervisors of Personal Service Workers	1,390
Connecticut	39-4021	Funeral Attendants	330
Connecticut	39-5012	Hairdressers, Hairstylists, and Cosmetologists	4,180
Connecticut	39-3093	Locker Room, Coatroom, and Dressing Room Attendants	90
Connecticut	39-5092	Manicurists and Pedicurists	4,050
Connecticut	39-4031	Morticians, Undertakers, and Funeral Arrangers	270
Connecticut	39-9099	Personal Care and Service Workers, All Other	270
Connecticut	39-9032	Recreation Workers	5,420
Connecticut	39-9041	Residential Advisors	1,590
Connecticut	39-5093	Shampooers	N/A
Connecticut	39-5094	Skincare Specialists	460
Connecticut	39-7010	Tour and travel guides	390
Connecticut	39-3031	Ushers, Lobby Attendants, and Ticket Takers	660
Connecticut	41-0000	Sales and Related Occupations	136,810
Connecticut	41-3011	Advertising Sales Agents	900
Connecticut	41-2011	Cashiers	37,320
Connecticut	41-2021	Counter and Rental Clerks	3,340
Connecticut	41-9011	Demonstrators and Product Promoters	170
Connecticut	41-9091	Door-to-Door Sales Workers, News and Street Vendors, and Related Workers	N/A
Connecticut	41-1012	First-Line Supervisors of Non-Retail Sales Workers	1,920
Connecticut	41-1011	First-Line Supervisors of Retail Sales Workers	12,520
Connecticut	41-2012	Gambling Change Persons and Booth Cashiers	160
Connecticut	41-3021	Insurance Sales Agents	4,700
Connecticut	41-2022	Parts Salespersons	1,990
Connecticut	41-9021	Real Estate Brokers	100
Connecticut	41-9022	Real Estate Sales Agents	400
Connecticut	41-2031	Retail Salespersons	39,620
Connecticut	41-9099	Sales and Related Workers, All Other	820
Connecticut	41-9031	Sales Engineers	720
Connecticut	41-3091	Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel	8,800
Connecticut	41-4012	Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products	12,860
Connecticut	41-4011	Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products	2,730
Connecticut	41-3031	Securities, Commodities, and Financial Services Sales Agents	7,030
Connecticut	41-9041	Telemarketers	310
Connecticut	41-3041	Travel Agents	320
Connecticut	43-0000	Office and Administrative Support Occupations	214,390
Connecticut	43-3011	Bill and Account Collectors	760
Connecticut	43-3021	Billing and Posting Clerks	5,450
Connecticut	43-3031	Bookkeeping, Accounting, and Auditing Clerks	16,350
Connecticut	43-4011	Brokerage Clerks	400
Connecticut	43-5011	Cargo and Freight Agents	400
Connecticut	43-5021	Couriers and Messengers	800
Connecticut	43-4031	Court, Municipal, and License Clerks	1,270
Connecticut	43-4041	Credit Authorizers, Checkers, and Clerks	30
Connecticut	43-4051	Customer Service Representatives	30,140
Connecticut	43-9021	Data Entry Keyers	1,650
Connecticut	43-9031	Desktop Publishers	30
Connecticut	43-5032	Dispatchers, Except Police, Fire, and Ambulance	2,540
Connecticut	43-4061	Eligibility Interviewers, Government Programs	1,310
Connecticut	43-6011	Executive Secretaries and Executive Administrative Assistants	6,000
Connecticut	43-4071	File Clerks	480
Connecticut	43-3099	Financial Clerks, All Other	360
Connecticut	43-1011	First-Line Supervisors of Office and Administrative Support Workers	26,670
Connecticut	43-4081	Hotel, Motel, and Resort Desk Clerks	1,550
Connecticut	43-4161	Human Resources Assistants, Except Payroll and Timekeeping	870
Connecticut	43-4199	Information and Record Clerks, All Other	670
Connecticut	43-9041	Insurance Claims and Policy Processing Clerks	3,670
Connecticut	43-4111	Interviewers, Except Eligibility and Loan	1,490
Connecticut	43-6012	Legal Secretaries and Administrative Assistants	1,280
Connecticut	43-4121	Library Assistants, Clerical	1,330
Connecticut	43-4131	Loan Interviewers and Clerks	1,670
Connecticut	43-9051	Mail Clerks and Mail Machine Operators, Except Postal Service	860
Connecticut	43-6013	Medical Secretaries and Administrative Assistants	5,000
Connecticut	43-5041	Meter Readers, Utilities	80
Connecticut	43-4141	New Accounts Clerks	180
Connecticut	43-9199	Office and Administrative Support Workers, All Other	3,050
Connecticut	43-9061	Office Clerks, General	25,890
Connecticut	43-9071	Office Machine Operators, Except Computer	150
Connecticut	43-3051	Payroll and Timekeeping Clerks	1,750
Connecticut	43-5051	Postal Service Clerks	1,020
Connecticut	43-5052	Postal Service Mail Carriers	4,740
Connecticut	43-5053	Postal Service Mail Sorters, Processors, and Processing Machine Operators	1,150
Connecticut	43-3061	Procurement Clerks	550
Connecticut	43-5061	Production, Planning, and Expediting Clerks	4,370
Connecticut	43-9081	Proofreaders and Copy Markers	60
Connecticut	43-5031	Public Safety Telecommunicators	1,350
